episode_id,model,start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,parameter_change_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
5201,nominal,62,77,0.5,0.5180000000000002,16,1,5,1.3817069159956318e-06,1.2445790531501756e-06,36.12351884042123,76.14833761861883
5201,nominal,62,96,1.0,1.0019999999999998,35,2,10,3.4400441346840086e-06,1.007589394111429e-05,107.5343102712967,381.97863152478385
5201,nominal,62,114,1.5,1.5019999999999998,53,3,11,17.889914246972147,40.3649118922902,15.501937947734945,65.5105413255352
5201,nominal,63,78,0.5,0.5179999999999998,16,1,5,1.7012011710509639e-06,9.87135052810344e-07,34.31660417030815,78.56150347740899
5201,nominal,63,97,1.0,1.0070000000000001,35,2,10,3.607912327277639e-06,8.192750827041132e-06,97.70821497638376,350.93197444863245
5201,nominal,63,115,1.5,1.5050000000000003,53,3,11,18.752063269067083,33.1595737682169,13.97059712453616,58.89772421846513
5201,nominal,64,79,0.5,0.5140000000000002,16,1,5,1.8657083025196973e-06,5.940824081578173e-07,32.64709599770771,79.50038724444032
5201,nominal,64,98,1.0,1.008,35,2,10,3.7502272376954082e-06,5.763658916360435e-06,89.29022177037186,323.7689697476852
5201,nominal,64,116,1.5,1.5069999999999997,53,3,11,19.439828212324493,25.47277491817904,12.546519357624963,52.74362107329435
5201,nominal,65,83,0.5,0.52,19,1,6,2.31900282056846e-06,1.969291776859362e-06,51.81249954722366,565.7088864661782
5201,nominal,65,101,1.0,1.0019999999999998,37,2,11,0.05231121409864311,1.937601201658864,67.31200917978906,262.7070961812823
5201,nominal,66,83,0.5,0.5009999999999999,18,1,5,2.0106036375633475e-06,1.9876400877086723e-06,10.125970994088751,41.83113193723466
5201,nominal,66,102,1.0,1.0099999999999998,37,2,10,0.2544319073074342,7.485962661514455,9.355268763675141,43.42503321693112
5201,nominal,67,84,0.5,0.5030000000000001,18,1,5,2.8166856638294242e-06,3.3386246187857427e-06,9.11181823385688,44.093561350352616
5201,nominal,67,103,1.0,1.0149999999999997,37,2,10,0.6740115455913015,16.137660844976942,8.223420658881274,43.53261868807315
5201,nominal,68,86,0.5,0.5099999999999998,19,1,7,1.1719202298044909e-06,1.1508126634038664e-05,9.948892233208205,32.15536848754721
5201,nominal,68,105,1.0,1.0230000000000001,38,2,10,2.627305744503343,42.72283476426902,6.061452541567061,37.474818121356506
5201,nominal,69,87,0.5,0.5089999999999999,19,1,7,7.227647546715012e-07,1.3522210805088108e-05,12.838795928859325,13.80964308836252
5201,nominal,69,106,1.0,1.0230000000000001,38,2,9,4.262103310944781,56.3723404209424,0.6803539065217002,5.888762165701969
5201,nominal,70,88,0.5,0.5049999999999999,19,1,7,8.050021512202111e-07,1.5534278149982143e-05,27.087826249292103,27.28361102660233
5201,nominal,70,107,1.0,1.0220000000000002,38,2,8,6.224349350971184,65.40820106792796,7.397465009655477,17.736880282515102
5201,nominal,71,90,0.5,0.528,20,1,6,1.3924593338264316e-06,1.7862402940906074e-05,37.191883667244205,1.6015829891431395
5201,nominal,71,108,1.0,1.017,38,2,7,8.160800057383787,69.15894780132408,13.615343672243158,34.5375920349776
5201,nominal,72,91,0.5,0.5120000000000005,20,1,5,2.048502468426673e-06,1.833541414481418e-05,36.72081630891038,22.896455872430153
5201,nominal,72,109,1.0,1.0140000000000002,38,2,6,10.874763692709434,67.84909803969397,12.38181279541933,33.60613482780151
5201,nominal,73,92,0.5,0.5089999999999999,20,1,5,2.5495129730006305e-06,1.8096536790669448e-05,35.61609315920836,39.45444794722559
5201,nominal,73,110,1.0,1.0070000000000001,38,2,6,12.432089091501192,64.88855672768905,11.60042615896992,32.55778603147864
5201,nominal,74,93,0.5,0.5139999999999998,20,1,5,3.1803934690865583e-06,1.7446147404289135e-05,34.24424583089958,50.80919325903085
5201,nominal,74,111,1.0,1.0059999999999998,38,2,6,13.721353042066145,61.39352737370663,10.937619994131888,31.56220678421752
5201,nominal,75,94,0.5,0.5210000000000004,20,1,5,3.67687747089295e-06,1.5003790829062052e-05,32.597536900709585,58.8110624013012
5201,nominal,75,112,1.0,1.012,38,2,6,15.227213915113955,55.77262540939215,10.122178633451375,30.201537116350814
