transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
87,3.653,0.028000000000000025,False,no_event,1.7440697774873115e-09,1.7440697774873115e-09,1.351416236694547e-07,1.351416236694547e-07,8.141024095986373e-09,3.6935400737903024e-07,1.3514129193481494e-07,2.17162723004094e-06,0.0
88,3.681,0.028000000000000025,False,no_event,2.0494131168047224e-08,2.0494131168047224e-08,6.889660413315956e-07,6.889660413315956e-07,3.7895159677127777,135.33985735928752,6.889658963128761e-07,2.5554057973256557e-06,4.3213366218708416e-07
89,3.709,0.028000000000000025,False,no_event,3.862121008644633e-08,3.862121008644633e-08,1.1999636126057398e-06,1.1999636126057398e-06,0.027182150082589836,0.9707933647497242,1.1999636797509898e-06,1.4910240116178599e-06,4.321336675161547e-07
90,3.737,0.028000000000000025,False,no_event,5.5329008513162584e-08,5.5329008513162584e-08,1.5797486968236774e-06,1.5797486968236774e-06,3.4738934230692794e-08,1.679905750506805e-06,1.5797487052671413e-06,4.902138759612336e-06,4.321336604107273e-07
91,3.765,0.028000000000000025,False,no_event,7.072283229968193e-08,7.072283229968193e-08,1.846280582571424e-06,1.846280582571424e-06,1.981320177708335e-08,2.6816586853328772e-06,1.8462805979989915e-06,7.954578222642386e-06,4.321336604107273e-07
92,3.7920000000000003,0.027000000000000135,False,no_event,8.793479312478832e-08,8.793479312478832e-08,2.4181231879662623e-06,2.4181231879662623e-06,8.640709591994253e-08,3.0629428238171386e-07,2.418123188527063e-06,1.5640035082907305e-05,3.5017721700114635e-07
93,3.8200000000000003,0.028000000000000025,False,no_event,9.823490667219306e-08,9.823490667219306e-08,2.1449536951372546e-06,2.1449536951372546e-06,6.130328315240041e-10,3.8383619198611996e-06,2.1449536861073484e-06,1.1840439041838214e-05,4.321336604107273e-07
94,3.847,0.02699999999999969,False,no_event,1.1107848430723536e-07,1.1107848430723536e-07,2.653972806529002e-06,2.653972806529002e-06,7.502813993603904e-08,2.0294299929446424e-07,2.6539728103398505e-06,1.8998795413699323e-05,3.501774443748218e-07
95,3.876,0.028999999999999915,False,no_event,1.5972809963146394e-07,1.5972809963146394e-07,3.029239712869841e-06,3.029239712869841e-06,3.6313871120084913e-07,1.711657557734725e-05,3.02923972638251e-06,2.0869349990890537e-05,5.140901038203083e-07
96,3.9010000000000002,0.025000000000000355,False,no_event,5.669140056156342e-08,5.669140056156342e-08,1.0485333836637194e-06,1.0485333836637194e-06,1.823563393285872e-07,8.432403035385505e-06,1.0485333696311626e-06,4.125195921555186e-06,1.8626434439283912e-07
97,3.928,0.02699999999999969,False,no_event,1.4151445133466349e-07,1.4151445133466349e-07,2.7797018439592244e-06,2.7797018439592244e-06,6.404451417682273e-08,5.525130575279036e-07,2.779701843477995e-06,2.0811040424978822e-05,3.501774301639671e-07
98,3.956,0.028000000000000025,False,no_event,1.4247901014583747e-07,1.4247901014583747e-07,1.7726703779122426e-06,1.7726703779122426e-06,1.7836855986896824e-08,4.17284775267035e-06,1.7726703781941295e-06,1.700883079959827e-05,0.0
99,3.983,0.027000000000000135,False,no_event,1.225181949100094e-07,1.225181949100094e-07,1.4979599334155625e-06,1.4979599334155625e-06,5.571843268725008e-08,6.307360820301255e-07,1.4979599055815902e-06,1.7942010292508564e-05,0.0
100,4.011,0.028000000000000025,False,no_event,1.3167324655908178e-07,1.3167324655908178e-07,8.534812675145849e-07,8.534812675145849e-07,1.8224476547036143e-08,3.854893321886266e-06,8.534812252725059e-07,1.0929521001724073e-05,0.0
101,4.037,0.0259999999999998,False,no_event,5.0298350682104446e-08,5.0298350682104446e-08,7.404821829944956e-07,7.404821829944956e-07,2.3230313393535396e-07,1.0708535867820501e-05,7.404821827465639e-07,1.218521370548384e-05,0.0
