start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
31,50,0.5,0.5210000000000001,20,1,0,6.615663323827903e-07,1.9048520911724154e-06,136.84605214151915,1180.8365239972854
31,68,1.0,1.002,38,1,0,2.9828820515831467e-06,1.2193760312584345e-07,24.686983339575452,111.96765738593696
31,87,1.5,1.5000000000000002,57,2,0,2.635475993884029e-06,5.232675283295407e-06,1.7837496163016588,12.95923716185713
32,51,0.5,0.5189999999999999,20,1,0,5.809913545817835e-07,2.7788000593886863e-06,162.88667334526914,1041.6248446455734
32,69,1.0,1.002,38,1,0,2.9265606826811563e-06,9.257939836970763e-08,22.00984502975119,99.1532698316475
32,89,1.5,1.527,58,2,0,2.339609409318655e-06,2.1861221481955795e-06,1.2425650410891678,9.141306427492777
33,52,0.5,0.5189999999999999,20,1,0,5.804423608424258e-07,3.5025450202397224e-06,174.2955806002485,912.7098391382128
33,70,1.0,1.0010000000000001,38,1,0,2.8536339868878713e-06,6.299177357504959e-08,19.872054741958845,89.0745953229661
33,89,1.5,1.502,57,2,0,2.233908389825956e-06,2.1861221481955795e-06,1.2425650410891678,9.141306427492777
34,53,0.5,0.5149999999999997,20,1,0,3.2668640415067784e-07,4.092948870493274e-06,154.27846321728373,800.6846926728984
34,72,1.0,1.025,39,1,0,2.6629439844327862e-06,2.5118595203821314e-08,15.906379250591511,70.46944964930043
34,90,1.5,1.5030000000000001,57,2,0,1.8160803847422358e-06,1.4310109994752906e-06,1.017484655285318,7.502679408328206
35,54,0.5,0.5180000000000002,20,1,0,1.0130969485544483e-06,6.517202820077728e-06,134.30448633420406,688.7578141888459
35,73,1.0,1.024,39,1,0,3.142415266665921e-06,1.716804831630725e-08,14.327114727194706,63.17058073776494
35,91,1.5,1.5030000000000001,57,2,0,2.2189815354067832e-06,8.142461647153709e-07,0.8531461359373855,6.320712243456635
36,55,0.5,0.516,20,1,0,7.721554311501677e-07,2.3244793538879094e-06,118.63538199586264,602.6578554690058
36,74,1.0,1.021,39,1,0,2.851602062037273e-06,1.1651792419797857e-08,12.910481768838286,56.66531813137102
36,92,1.5,1.5030000000000001,57,3,0,1.8570327664417563e-06,8.905879739308615e-07,0.7063908075976735,5.241260388566289
37,56,0.5,0.5180000000000002,20,1,0,6.35278524896421e-07,3.61356062228424e-06,103.11460737285329,517.3591458226142
37,75,1.0,1.0190000000000001,39,1,0,2.568005243119842e-06,6.379565320457914e-09,11.593747625065886,50.64362058774863
37,93,1.5,1.505,57,3,0,1.4840651220089748e-06,1.3791430324870775e-06,0.5777075501040115,4.289438715408565
38,57,0.5,0.5209999999999999,20,1,0,6.085164159230771e-07,1.8682594173924372e-06,89.38995477850463,442.73072087898834
38,76,1.0,1.016,39,1,0,2.3842403606977314e-06,0.0,10.456552852242568,45.48779075006262
38,94,1.5,1.501,57,3,0,1.2419713243389683e-06,1.6786655481739984e-06,0.4900063350166725,3.6542171494514832
39,58,0.5,0.5230000000000001,20,1,0,1.0489400210644817e-06,3.0251456166752178e-06,78.60149258322711,385.30221680405003
39,77,1.0,1.0150000000000001,39,2,0,2.672602704478777e-06,5.722831986076926e-07,9.283359868233116,46.927719210555054
39,95,1.5,1.5010000000000003,57,3,0,1.4846307816488542e-06,8.031077323208772e-07,0.4101754962935793,3.070415009746739
40,59,0.5,0.5230000000000001,20,1,0,1.3154036651030765e-06,1.0680983564270718e-06,69.78447245803419,339.1161565991572
40,78,1.0,1.0150000000000001,39,2,0,2.9784658863718505e-06,2.4178851276701607e-06,8.103296870875575,45.387038082484466
40,96,1.5,1.5,57,3,0,1.6516376484760636e-06,7.78818647307057e-07,0.3452652325452209,2.596409455923009
41,60,0.5,0.5220000000000002,20,1,0,1.507790670984832e-06,1.1683193008593662e-06,62.27786619242677,300.2642496659824
